danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.835,0.571,8,-4.771,0,0.102,0.0716,0,0.0604,0.902,138.038,audio_features,6w1DBbA8akxHPiBQ6nAyJq,spotify:track:6w1DBbA8akxHPiBQ6nAyJq,https://api.spotify.com/v1/tracks/6w1DBbA8akxHPiBQ6nAyJq,https://api.spotify.com/v1/audio-analysis/6w1DBbA8akxHPiBQ6nAyJq,330600,4,RnB,I'm a Flirt Remix (feat. T.I. & T-Pain),,
0.685,0.725,7,-4.791,1,0.177,0.13,0.000925,0.592,0.381,151.992,audio_features,4ZrEjG3Vef85NTve8ptC9Q,spotify:track:4ZrEjG3Vef85NTve8ptC9Q,https://api.spotify.com/v1/tracks/4ZrEjG3Vef85NTve8ptC9Q,https://api.spotify.com/v1/audio-analysis/4ZrEjG3Vef85NTve8ptC9Q,448533,4,RnB,What Goes Around.../...Comes Around (Interlude),,
0.765,0.821,4,-5.926,0,0.183,0.0918,0,0.217,0.962,162.519,audio_features,0UNTBB02C1aB55Fu4H63qd,spotify:track:0UNTBB02C1aB55Fu4H63qd,https://api.spotify.com/v1/tracks/0UNTBB02C1aB55Fu4H63qd,https://api.spotify.com/v1/audio-analysis/0UNTBB02C1aB55Fu4H63qd,276800,4,RnB,One Call Away,,
0.764,0.487,0,-6.734,1,0.0281,0.25,0,0.184,0.352,116.027,audio_features,3MYwiHsnNjSfaacdLUHNcz,spotify:track:3MYwiHsnNjSfaacdLUHNcz,https://api.spotify.com/v1/tracks/3MYwiHsnNjSfaacdLUHNcz,https://api.spotify.com/v1/audio-analysis/3MYwiHsnNjSfaacdLUHNcz,261320,4,RnB,Wait For You,,
0.684,0.606,5,-7.268,0,0.0504,0.17,0,0.058,0.723,127.901,audio_features,6TlRNJaezOdzdECnQeRuMM,spotify:track:6TlRNJaezOdzdECnQeRuMM,https://api.spotify.com/v1/tracks/6TlRNJaezOdzdECnQeRuMM,https://api.spotify.com/v1/audio-analysis/6TlRNJaezOdzdECnQeRuMM,275107,4,RnB,Bed,,
0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,audio_features,7wBThXx7BGZHJJ3aN3OPvv,spotify:track:7wBThXx7BGZHJJ3aN3OPvv,https://api.spotify.com/v1/tracks/7wBThXx7BGZHJJ3aN3OPvv,https://api.spotify.com/v1/audio-analysis/7wBThXx7BGZHJJ3aN3OPvv,211200,4,RnB,Confessions Part II,,
0.717,0.792,0,-2.703,1,0.0393,0.199,0,0.423,0.513,126.975,audio_features,1ERCOXHQcoLSTlgmNTlcrR,spotify:track:1ERCOXHQcoLSTlgmNTlcrR,https://api.spotify.com/v1/tracks/1ERCOXHQcoLSTlgmNTlcrR,https://api.spotify.com/v1/audio-analysis/1ERCOXHQcoLSTlgmNTlcrR,222200,4,RnB,2012 (It Ain't The End),,
0.724,0.778,7,-5.648,1,0.18,0.101,0,0.252,0.858,150.014,audio_features,2w85F9RF9mWfWfN5fIFEYE,spotify:track:2w85F9RF9mWfWfN5fIFEYE,https://api.spotify.com/v1/tracks/2w85F9RF9mWfWfN5fIFEYE,https://api.spotify.com/v1/audio-analysis/2w85F9RF9mWfWfN5fIFEYE,284160,4,RnB,Girlfriend,,
0.622,0.882,9,-5.59,0,0.119,0.0912,0,0.216,0.762,155.012,audio_features,72by3Re4C3eVEBXvsUo0zV,spotify:track:72by3Re4C3eVEBXvsUo0zV,https://api.spotify.com/v1/tracks/72by3Re4C3eVEBXvsUo0zV,https://api.spotify.com/v1/audio-analysis/72by3Re4C3eVEBXvsUo0zV,284187,4,RnB,Green Light (feat. André 3000),,
0.578,0.546,10,-8.149,0,0.0552,0.0024,0,0.0908,0.0819,120.818,audio_features,6m1sJMWeAkCG5eECKaGFew,spotify:track:6m1sJMWeAkCG5eECKaGFew,https://api.spotify.com/v1/tracks/6m1sJMWeAkCG5eECKaGFew,https://api.spotify.com/v1/audio-analysis/6m1sJMWeAkCG5eECKaGFew,275933,5,RnB,Can't Believe It (feat. Lil' Wayne),,
